,entry__pk,Heavy,Light
0,A12/18,2.0,2.0
1,D3/71,1.0,1.0
2,D4/11,1.0,1.0
3,D4/112,1.0,
4,D4/152,1.0,1.0
5,D4/154,1.0,1.0
6,D4/16,1.0,1.0
7,D4/27,1.0,1.0
8,D4/40,1.0,1.0
9,D4/49,1.0,
10,K13/31,1.0,1.0
11,K14/16,1.0,1.0
12,K14/39,1.0,1.0
13,K17/24,1.0,1.0
14,K17/70,1.0,1.0
15,K19/13,1.0,1.0
16,K19/2,1.0,
17,K19/36,1.0,1.0
18,K19/46,1.0,1.0
19,K20/77,1.0,1.0
20,K20/78,1.0,1.0
21,K21/1,1.0,
22,K25/59,,1.0
23,K25/73,1.0,1.0
24,K28/25,1.0,1.0
25,K28/27,1.0,1.0
26,K28/37,1.0,1.0
27,K28/38,1.0,1.0
28,K28/42,1.0,1.0
29,K28/43,1.0,1.0
30,K28/58,1.0,1.0
31,K28/74,1.0,1.0
32,K28/77,1.0,1.0
33,K28/86,1.0,1.0
34,K28/91,1.0,1.0
35,K28/94,1.0,1.0
36,K29/7,1.0,1.0
37,K35/43,1.0,1.0
38,K35/57,1.0,1.0
39,K35/65,1.0,1.0
40,K35/7,1.0,1.0
41,K35/85,1.0,1.0
42,K35/90,1.0,
43,K36/15,1.0,1.0
44,K37/89,1.0,1.0
45,K39/25,1.0,1.0
46,K39/6,1.0,1.0
47,K4/209,1.0,1.0
48,K40/17,1.0,1.0
49,K47/34,1.0,1.0
50,K47/40,1.0,1.0
51,K47/42,1.0,1.0
52,K47/43,1.0,1.0
53,K47/9,1.0,1.0
54,K48/16,1.0,
55,K48/18,1.0,
56,K50/27,1.0,1.0
57,K50/36,1.0,1.0
58,K50/5,1.0,1.0
59,K51/1,1.0,1.0
60,K52/1,,1.0
61,K53/33,1.0,1.0
62,K53/6,1.0,1.0
63,K54/22,1.0,1.0
64,K55/29,1.0,1.0
65,K55/59,1.0,1.0
66,K55/7,1.0,2.0
67,K55/82,1.0,1.0
68,K55/9,1.0,1.0
69,K56A/50,1.0,1.0
70,K56A/57,1.0,1.0
71,K56A/95,1.0,1.0
72,K57/1,1.0,1.0
73,K57/27,1.0,1.0
74,K57/41,1.0,1.0
75,K57/47,1.0,1.0
76,K57/48,1.0,1.0
77,K58/35,1.0,1.0
78,K59/11,1.0,1.0
79,K59/14,1.0,1.0
80,K59/19,1.0,1.0
81,K60/1,1.0,1.0
82,K60/35,1.0,1.0
83,K60/41,1.0,1.0
84,K60/73,1.0,1.0
85,K60/87,1.0,1.0
86,K63/35,1.0,1.0
87,K63/39,1.0,1.0
88,K64/15,1.0,1.0
89,K64/21,1.0,1.0
90,K64/23,1.0,1.0
91,K64/29,1.0,1.0
92,K64/35,1.0,1.0
93,K65/11,,1.0
94,K65/31,1.0,1.0
95,K65/35,1.0,1.0
96,K65/36,1.0,1.0
97,K65A/2,1.0,1.0
98,K65A/30,1.0,1.0
99,K65A/41,1.0,1.0
100,K65A/43,1.0,1.0
101,K66/27,1.0,1.0
102,K66/29,1.0,1.0
103,K66/38,1.0,1.0
104,K66/59,1.0,1.0
105,K67/11,1.0,1.0
106,K67/21,1.0,1.0
107,K67/25,1.0,1.0
108,K68/86,1.0,1.0
109,K68/9,2.0,2.0
110,K69/3,1.0,2.0
111,K69/33,1.0,1.0
112,K7/25,1.0,1.0
113,K7/45,1.0,1.0
114,K72/2,1.0,1.0
115,K72/8,1.0,1.0
116,K73/20,1.0,1.0
117,K74/53,1.0,1.0
118,K74/71,1.0,1.0
119,K75/18,1.0,1.0
120,K75/30,1.0,1.0
121,K75/36,1.0,1.0
122,K75/41,1.0,1.0
123,K77/117,,1.0
124,K77/236,,1.0
125,K78/23,1.0,1.0
126,K78/29,1.0,1.0
127,K78/37,1.0,1.0
128,K78/47,1.0,1.0
129,K78/48,1.0,
130,K8/1,1.0,
131,K82/36,1.0,1.0
132,K82/38,,1.0
133,K87A/10,1.0,1.0
134,K88/26,1.0,1.0
135,K88/64,1.0,1.0
136,K88/70,1.0,1.0
137,K89/19,,1.0
138,K89/34,1.0,1.0
139,K89/41,1.0,1.0
140,K9/40,1.0,1.0
141,K9/62,1.0,
142,K9/66,1.0,
143,K9/68,1.0,
144,K9/80,1.0,
145,K90/28,1.0,1.0
146,K90/6,1.0,1.0
147,K90A/16,1.0,1.0
148,K91/2,1.0,1.0
149,K91/20,1.0,1.0
150,K91/21,1.0,1.0
151,K92/24,1.0,1.0
152,K93X/1,1.0,
153,K93X/22,1.0,
154,K96/25,,1.0
155,K96/7,1.0,1.0
156,K97/15,1.0,1.0
157,K97/25,1.0,1.0
158,K97/71,1.0,1.0
159,K99/3,,1.0
160,L1/6,,1.0
161,L10/2,1.0,1.0
162,L10/28,,1.0
163,L10/3,1.0,
164,L10/40,1.0,
165,L10/48,1.0,1.0
166,L100/1,1.0,1.0
167,L100/30,1.0,1.0
168,L100/75,1.0,1.0
169,L102/45,1.0,1.0
170,L102/47,,1.0
171,L102/71,1.0,1.0
172,L103/12,1.0,1.0
173,L103/13,1.0,1.0
174,L103/15,1.0,1.0
175,L103/16,1.0,1.0
176,L103/30,1.0,1.0
177,L103/88,1.0,1.0
178,L105/28,,1.0
179,L105/3,1.0,1.0
180,L105/31,1.0,1.0
181,L105/92,1.0,
182,L106/22,1.0,1.0
183,L106/23,1.0,1.0
184,L106/3,1.0,1.0
185,L106/4,1.0,1.0
186,L106/83,1.0,1.0
187,L106/93,1.0,2.0
188,L106/94,,1.0
189,L107/24,,1.0
190,L107/39,1.0,1.0
191,L107/50,1.0,1.0
192,L107/89,,1.0
193,L107/90,1.0,1.0
194,L107/93,1.0,
195,L107/95,1.0,1.0
196,L108/17,1.0,1.0
197,L108/40,1.0,1.0
198,L108/49,1.0,1.0
199,L108/71,1.0,1.0
200,L108/72,1.0,1.0
201,L108/90,1.0,1.0
202,L108/92,1.0,1.0
203,L108/95,1.0,1.0
204,L109/27,1.0,1.0
205,L109/28,1.0,1.0
206,L109/39,1.0,
207,L109/43,1.0,1.0
208,L109/49,1.0,1.0
209,L109/57,1.0,1.0
210,L109/62,1.0,1.0
211,L109/75,,1.0
212,L109/87,,1.0
213,L11/21,1.0,1.0
214,L110/143,1.0,1.0
215,L110/52,1.0,1.0
216,L110/55,1.0,1.0
217,L111/118,1.0,1.0
218,L111/43,1.0,1.0
219,L111/73,1.0,1.0
220,L112/12,1.0,
221,L112/22,1.0,1.0
222,L112/26,1.0,1.0
223,L112/49,1.0,
224,L113/13,1.0,1.0
225,L113/130,1.0,1.0
226,L113/26,1.0,1.0
227,L113/27,1.0,1.0
228,L113/28,1.0,1.0
229,L113/29,1.0,1.0
230,L113/44,1.0,1.0
231,L113/60,1.0,1.0
232,L113/62,1.0,1.0
233,L114/13,,1.0
234,L114/3,1.0,1.0
235,L114/38,1.0,1.0
236,L114/81,1.0,2.0
237,L115/123,1.0,1.0
238,L115/125,1.0,1.0
239,L115/13,1.0,1.0
240,L115/62,1.0,1.0
241,L116/104,1.0,1.0
242,L116/34,1.0,
243,L117/1,1.0,1.0
244,L117/141,,1.0
245,L117/52,1.0,1.0
246,L117/65,1.0,
247,L118/103,1.0,1.0
248,L118/135,1.0,1.0
249,L118/14,1.0,1.0
250,L118/36,1.0,1.0
251,L118/66,1.0,1.0
252,L118/80,1.0,1.0
253,L119/106,1.0,1.0
254,L119/134,1.0,2.0
255,L119/40,1.0,1.0
256,L11A/41,1.0,1.0
257,L12/30,1.0,1.0
258,L12/33,1.0,1.0
259,L120/12,1.0,1.0
260,L120/30,1.0,1.0
261,L120/72,1.0,1.0
262,L120/86,1.0,1.0
263,L120/9,1.0,1.0
264,L120/90,1.0,1.0
265,L120/91,,1.0
266,L121/133,1.0,1.0
267,L121/136,1.0,1.0
268,L121/25,1.0,1.0
269,L121/42,1.0,1.0
270,L122/110,1.0,1.0
271,L122/116,1.0,
272,L122/117,1.0,1.0
273,L122/120,1.0,
274,L122/123,1.0,1.0
275,L122/128,1.0,1.0
276,L122/129,1.0,1.0
277,L122/130,1.0,
278,L122/131,1.0,1.0
279,L122/132,1.0,1.0
280,L122/133,1.0,1.0
281,L122/135,1.0,1.0
282,L122/136,1.0,1.0
283,L122/141,1.0,1.0
284,L122/144,1.0,1.0
285,L122/15,1.0,
286,L122/2,1.0,1.0
287,L122/20,1.0,1.0
288,L122/27,1.0,
289,L122/3,1.0,1.0
290,L122/30,1.0,1.0
291,L122/4,1.0,
292,L122/43,1.0,1.0
293,L122/5,1.0,
294,L122/55,1.0,1.0
295,L122/58,,1.0
296,L122/6,1.0,1.0
297,L122/61,1.0,1.0
298,L122/68,1.0,1.0
299,L122/88,1.0,1.0
300,L123/109,1.0,1.0
301,L123/46,1.0,1.0
302,L123/53,1.0,1.0
303,L123/67,1.0,1.0
304,L124/107,1.0,1.0
305,L124/11,1.0,1.0
306,L124/114,1.0,1.0
307,L124/14,1.0,1.0
308,L124/20,,1.0
309,L124/25,1.0,1.0
310,L124/35,1.0,1.0
311,L124/39,1.0,1.0
312,L124/4,1.0,1.0
313,L124/41,1.0,1.0
314,L124/56,1.0,1.0
315,L124/59,1.0,1.0
316,L124/68,1.0,
317,L124/80,1.0,1.0
318,L124/9,1.0,1.0
319,L125/115,1.0,1.0
320,L125/121,1.0,1.0
321,L125/129,1.0,1.0
322,L125/18,1.0,1.0
323,L125/76,1.0,1.0
324,L126/113,1.0,1.0
325,L126/93,1.0,1.0
326,L126/97,1.0,1.0
327,L127/106,1.0,1.0
328,L127/12,1.0,1.0
329,L127/8,1.0,1.0
330,L127/90,1.0,1.0
331,L128/124,,1.0
332,L128/15,1.0,1.0
333,L128/18,1.0,1.0
334,L128/43,1.0,1.0
335,L128/89,1.0,1.0
336,L129/11,1.0,1.0
337,L129/117,1.0,1.0
338,L129/123,,1.0
339,L129/14,1.0,1.0
340,L129/19,1.0,
341,L129/23,1.0,1.0
342,L129/27,1.0,1.0
343,L129/57,1.0,1.0
344,L129/6,1.0,1.0
345,L129/62,1.0,1.0
346,L129/86,,1.0
347,L129/88,1.0,1.0
348,L129/93,1.0,1.0
349,L129/96,1.0,1.0
350,L130/1,1.0,1.0
351,L130/119,1.0,1.0
352,L130/27,1.0,1.0
353,L130/49,1.0,1.0
354,L131/17,1.0,1.0
355,L131/20,1.0,1.0
356,L131/27,1.0,1.0
357,L131/42,1.0,1.0
358,L131/60,1.0,1.0
359,L132/18,1.0,1.0
360,L132/37,1.0,1.0
361,L132/68,1.0,1.0
362,L132/76,1.0,1.0
363,L132/80,1.0,1.0
364,L14/2,,1.0
365,L16/24,1.0,
366,L16/33,1.0,
367,L16/45,1.0,1.0
368,L17/75,1.0,1.0
369,L18A/3,1.0,1.0
370,L20/23,1.0,1.0
371,L20/26,1.0,1.0
372,L20/41,1.0,1.0
373,L20/8,1.0,1.0
374,L21/32,1.0,1.0
375,L23/27,1.0,1.0
376,L24/1,1.0,1.0
377,L24/11,1.0,1.0
378,L24/18,1.0,1.0
379,L24/19,1.0,1.0
380,L24/20,1.0,1.0
381,L24/21,1.0,1.0
382,L24/24,,1.0
383,L28/36,1.0,1.0
384,L28/4,1.0,1.0
385,L28/9,2.0,1.0
386,L3/19,1.0,1.0
387,L3/8,1.0,1.0
388,L30/1,1.0,1.0
389,L30/26,1.0,1.0
390,L30/34,1.0,1.0
391,L30/45,1.0,2.0
392,L30/8,1.0,1.0
393,L32/12,1.0,1.0
394,L32/17,1.0,1.0
395,L33/33,1.0,1.0
396,L36/12,1.0,1.0
397,L38/1,1.0,1.0
398,L38/11,1.0,1.0
399,L38/20,1.0,1.0
400,L38/3,1.0,1.0
401,L39/15,,1.0
402,L4/25,,2.0
403,L4/6,1.0,1.0
404,L42/17,1.0,1.0
405,L43/40,1.0,1.0
406,L43/6,1.0,1.0
407,L45/1,1.0,1.0
408,L45/30,1.0,1.0
409,L46/39,1.0,1.0
410,L46/41,1.0,1.0
411,L46/45,1.0,1.0
412,L47/41,1.0,
413,L48A/29,1.0,1.0
414,L48A/31,1.0,1.0
415,L48A/9,1.0,1.0
416,L5/1,1.0,1.0
417,L51/57,1.0,1.0
418,L51/73,1.0,1.0
419,L51/74,1.0,1.0
420,L51/80,1.0,1.0
421,L51/82,1.0,1.0
422,L55/10,1.0,1.0
423,L55/11,1.0,1.0
424,L55/25,1.0,1.0
425,L55/3,1.0,1.0
426,L55/54,1.0,1.0
427,L55/6,1.0,
428,L57/23,1.0,1.0
429,L57/46,1.0,1.0
430,L57/47,1.0,1.0
431,L57/9,1.0,2.0
432,L58A/1,1.0,1.0
433,L58A/13,1.0,1.0
434,L58A/18,1.0,1.0
435,L58A/6,1.0,1.0
436,L6/2,1.0,1.0
437,L6/23,1.0,1.0
438,L6/25,1.0,1.0
439,L6/43,1.0,1.0
440,L6/47,1.0,1.0
441,L6/48,1.0,1.0
442,L6/54,1.0,
443,L6/55,1.0,1.0
444,L6/60,1.0,1.0
445,L6/67,1.0,1.0
446,L60/14,1.0,1.0
447,L60/2,1.0,1.0
448,L60/4,1.0,1.0
449,L61/14,1.0,1.0
450,L61C/25,1.0,1.0
451,L61C/30,1.0,1.0
452,L61C/7,1.0,1.0
453,L62/29,1.0,1.0
454,L63/22,1.0,1.0
455,L63/30,1.0,1.0
456,L63/48,,1.0
457,L64/1,1.0,
458,L64/17,1.0,
459,L64/32,1.0,1.0
460,L64/4,1.0,
461,L66/9,1.0,1.0
462,L67/53,,1.0
463,L68/1,1.0,1.0
464,L68/4,,1.0
465,L69/42,,1.0
466,L7/1,,1.0
467,L7/2,,1.0
468,L7/3,1.0,1.0
469,L7/4,,1.0
470,L7/5,,1.0
471,L7/8,,1.0
472,L70A/1,1.0,1.0
473,L71/22,1.0,1.0
474,L71/5,1.0,1.0
475,L72/1,,1.0
476,L72/13,,1.0
477,L72/14,,1.0
478,L72/5,,1.0
479,L72/6,,1.0
480,L75/6,,1.0
481,L76/36,1.0,1.0
482,L76/44,2.0,1.0
483,L76/49,1.0,1.0
484,L76/53,1.0,
485,L76/72,1.0,
486,L76/89,1.0,1.0
487,L8/15,1.0,1.0
488,L8/21,1.0,1.0
489,L8/23,1.0,1.0
490,L8/4,1.0,1.0
491,L80/21,1.0,1.0
492,L83/11,1.0,1.0
493,L83/81,1.0,1.0
494,L85/23,1.0,1.0
495,L85/3,1.0,1.0
496,L85/39,1.0,
497,L85/44,1.0,1.0
498,L86/14,1.0,1.0
499,L86/2,1.0,1.0
500,L86/33,1.0,2.0
501,L86/36,1.0,1.0
502,L86A/37,1.0,1.0
503,L86A/43,1.0,1.0
504,L87/37,1.0,1.0
505,L88/86,,1.0
506,L89/24,,1.0
507,L89/71,,1.0
508,L9/30,1.0,2.0
509,L9/41,1.0,1.0
510,L9/42,1.0,1.0
511,L9/48,1.0,1.0
512,L92/21,1.0,1.0
513,L92/70,,1.0
514,L94/54,1.0,1.0
515,L95A/42,1.0,1.0
516,L95A/60,1.0,1.0
517,L95A/61,1.0,1.0
518,L96/162,1.0,2.0
519,L96/86,1.0,1.0
520,L97A/35,1.0,1.0
521,L97A/49,1.0,
522,L98/11,,1.0
523,L98/12,1.0,
524,L98/14,1.0,
525,N1/12,1.0,1.0
526,N1/49,1.0,1.0
527,N1/52,1.0,1.0
528,N1/66,1.0,1.0
529,N10/13,1.0,1.0
530,N10/17,1.0,1.0
531,N10/7,1.0,1.0
532,N10/9,1.0,1.0
533,N100/13,1.0,1.0
534,N101/22,,1.0
535,N101/38,,2.0
536,N101A/28,,1.0
537,N102/38,,1.0
538,N102A/33,,1.0
539,N103/1,1.0,1.0
540,N103/31,1.0,2.0
541,N103/38,1.0,1.0
542,N103/39,1.0,1.0
543,N103A/37,1.0,1.0
544,N104/18,1.0,
545,N104/23,1.0,1.0
546,N104/32,1.0,1.0
547,N104/37,1.0,1.0
548,N105/13,1.0,1.0
549,N105/17,1.0,
550,N105/2,1.0,1.0
551,N106/20,1.0,1.0
552,N106/30,1.0,1.0
553,N106/36,1.0,2.0
554,N106/43,1.0,1.0
555,N106/44,1.0,1.0
556,N106/56,1.0,1.0
557,N106/65,1.0,
558,N108/13,1.0,1.0
559,N108/20,,1.0
560,N108/35,1.0,1.0
561,N108/54,1.0,1.0
562,N11/33,1.0,1.0
563,N110/15,1.0,1.0
564,N110/22,1.0,1.0
565,N110/29,1.0,1.0
566,N110/5,1.0,1.0
567,N111/24,1.0,1.0
568,N111/27,1.0,1.0
569,N111/48,1.0,1.0
570,N112/16,1.0,1.0
571,N112B/14,1.0,1.0
572,N112B/22,1.0,1.0
573,N112B/29,1.0,1.0
574,N112B/30,1.0,1.0
575,N112B/7,1.0,1.0
576,N114/10,1.0,1.0
577,N114/6,1.0,1.0
578,N115/14,1.0,1.0
579,N116/10,1.0,1.0
580,N116/14,1.0,1.0
581,N116/26,1.0,1.0
582,N116/31,1.0,1.0
583,N116/6,1.0,
584,N117/1,1.0,1.0
585,N117/11,1.0,1.0
586,N117/19,1.0,1.0
587,N117/20,1.0,1.0
588,N117/3,1.0,1.0
589,N117/9,1.0,1.0
590,N118/6,1.0,1.0
591,N119/13,1.0,1.0
592,N119/24,1.0,1.0
593,N119/33,1.0,1.0
594,N119/44,1.0,1.0
595,N119/46,1.0,1.0
596,N120A/9,1.0,1.0
597,N121/3,,1.0
598,N121A/1,1.0,1.0
599,N121A/15,1.0,1.0
600,N121A/31,1.0,1.0
601,N121A/40,1.0,1.0
602,N122A/17,1.0,1.0
603,N122A/2,,1.0
604,N122A/29,,1.0
605,N122A/35,,1.0
606,N123/19,1.0,1.0
607,N123/23,1.0,
608,N123/37,1.0,1.0
609,N124B/23,1.0,1.0
610,N124B/38,1.0,1.0
611,N125/10,1.0,1.0
612,N125/14,1.0,1.0
613,N125/23,1.0,1.0
614,N125/28,1.0,1.0
615,N125/7,1.0,1.0
616,N126/13,1.0,1.0
617,N126B/17,1.0,1.0
618,N126B/31,1.0,1.0
619,N126B/32,1.0,1.0
620,N126B/36,1.0,1.0
621,N126B/40,1.0,1.0
622,N126B/42,1.0,1.0
623,N126B/43,1.0,1.0
624,N127/2,1.0,1.0
625,N127/24,1.0,
626,N127/27,1.0,1.0
627,N127/31,1.0,1.0
628,N127/7,1.0,1.0
629,N128A/2,1.0,1.0
630,N128A/4,1.0,1.0
631,N129/15,1.0,1.0
632,N129/26,1.0,1.0
633,N129A/24,1.0,1.0
634,N129A/28,1.0,1.0
635,N129A/29,1.0,1.0
636,N129A/6,1.0,1.0
637,N131A/19,,1.0
638,N131A/38,1.0,1.0
639,N131A/8,1.0,1.0
640,N132/14,,1.0
641,N132A/1,1.0,1.0
642,N132A/12,1.0,1.0
643,N132A/15,1.0,1.0
644,N132A/20,1.0,1.0
645,N133/11,1.0,1.0
646,N133/21,1.0,1.0
647,N133/35,1.0,1.0
648,N133/40,1.0,1.0
649,N133/53,1.0,1.0
650,N133/55,1.0,
651,N133/63,1.0,1.0
652,N133/8,1.0,1.0
653,N134/12,1.0,1.0
654,N134/18,1.0,1.0
655,N134/30,1.0,1.0
656,N134/33,1.0,1.0
657,N135/13,1.0,1.0
658,N135/15,1.0,1.0
659,N135/22,1.0,1.0
660,N135/37,1.0,1.0
661,N136/16,1.0,1.0
662,N136A/18,1.0,1.0
663,N136A/35,,1.0
664,N136A/9,,1.0
665,N137/14,2.0,
666,N137/38,1.0,1.0
667,N137A/1,1.0,1.0
668,N137A/10,1.0,1.0
669,N137A/3,1.0,1.0
670,N138/1,1.0,1.0
671,N138/28,,1.0
