mabid,type
1D8,VH-linker-VL
A12/18,VH-linker-VL
D4/154,VH-linker-VL
K7/45,VH-linker-VL
K14/16,VH-linker-VL
K17/70,VH-linker-VL
K20/78,VH-linker-VL
K28/38,VH-linker-VL
K28/42,VH-linker-VL
K28/43,VH-linker-VL
K28/74,VH-linker-VL
K39/25,VH-linker-VL
K56A/50,VH-linker-VL
K56A/57,VH-linker-VL
K57/41,VH-linker-VL
K60/73,VH-linker-VL
K65/35,VH-linker-VL
K66/27,VH-linker-VL
K66/38,VH-linker-VL
K66/59,VH-linker-VL
K89/34,VH-linker-VL
K89/41,VH-linker-VL
K96/7,VH-linker-VL
L23/27,VH-linker-VL
L24/1,VH-linker-VL
L24/21,VH-linker-VL
L48A/9,VH-linker-VL
L61C/30,VH-linker-VL
L71/5,VH-linker-VL
L76/36,VH-linker-VL
L83/11,VH-linker-VL
L86/14,VH-linker-VL
L86/2,VH-linker-VL
L86/33,VH-linker-VL
L106/23,VH-linker-VL
L107/39,VH-linker-VL
L107/90,VH-linker-VL
L107/95,VH-linker-VL
L109/57,VH-linker-VL
L113/13,VH-linker-VL
L113/130,VH-linker-VL
L113/27,VH-linker-VL
L113/28,VH-linker-VL
L113/44,VH-linker-VL
L114/3,VH-linker-VL
L114/38,VH-linker-VL
L114/81,VH-linker-VL
L115/13,VH-linker-VL
L117/1,VH-linker-VL
L118/14,VH-linker-VL
L11A/41,VH-linker-VL
L120/12,VH-linker-VL
L121/133,VH-linker-VL
L121/136,VH-linker-VL
L122/144,VH-linker-VL
L122/6,VH-linker-VL
L122/68,VH-linker-VL
L123/46,VH-linker-VL
L124/59,VH-linker-VL
L125/129,VH-linker-VL
L127/8,VH-linker-VL
L130/1,VH-linker-VL
L131/17,VH-linker-VL
L131/20,VH-linker-VL
L131/27,VH-linker-VL
N1/12,VH-linker-VL
N7/18,VH-linker-VL
N16B/8,VH-linker-VL
N18/28,VH-linker-VL
N22/21,VH-linker-VL
N23B/6,VH-linker-VL
N23B/49,VH-linker-VL
N28/9,VH-linker-VL
N29/29,VH-linker-VL
N43/6,VH-linker-VL
N52A/42,VH-linker-VL
N52B/27,VH-linker-VL
N53/32,VH-linker-VL
N56/21,VH-linker-VL
N59/20,VH-linker-VL
N59/36,VH-linker-VL
N67/15,VH-linker-VL
N68/6,VH-linker-VL
N69/46,VH-linker-VL
N86/20,VH-linker-VL
N86/38,VH-linker-VL
N86/44,VH-linker-VL
N93A/49,VH-linker-VL
N100/13,VH-linker-VL
N103/31,VH-linker-VL
N105/13,VH-linker-VL
N105/17,VH-linker-VL
N106/20,VH-linker-VL
N112/16,VH-linker-VL
N112B/29,VH-linker-VL
N114/10,VH-linker-VL
N125/10,VH-linker-VL
N126B/31,VH-linker-VL
N129/15,VH-linker-VL
N133/21,VH-linker-VL
N133/35,VH-linker-VL
N134/12,VH-linker-VL
N140A/12,VH-linker-VL
N144/17,VH-linker-VL
N144/32,VH-linker-VL
N149/25,VH-linker-VL
N151/3,VH-linker-VL
N155/9,VH-linker-VL
N159/5,VH-linker-VL
N160/21,VH-linker-VL
N170A/1,VH-linker-VL
N170A/26,VH-linker-VL
N183/15,VH-linker-VL
N185/7,VH-linker-VL
N196/16,VH-linker-VL
N201/35,VH-linker-VL
N206A/8,VH-linker-VL
N207/27,VH-linker-VL
N212/17,VH-linker-VL
N212A/34,VH-linker-VL
N221/17,VH-linker-VL
N225A/10,VH-linker-VL
N241A/34,VH-linker-VL
N263/31 LC1,VH-linker-VL
N270/47,VH-linker-VL
N276A/15,VH-linker-VL
N289/16,VH-linker-VL
N294A/6,VH-linker-VL
N295B/66,VH-linker-VL
N312/10,VH-linker-VL
N355/1,VH-linker-VL
N363/71,VH-linker-VL
N366/60,VH-linker-VL
N367/51,VH-linker-VL
N372B/1,VH-linker-VL
N372B/60,VH-linker-VL
N375/67,VH-linker-VL
N393/2,VH-linker-VL
N398A/34,VH-linker-VL
N399/19,VH-linker-VL
N402/46,VH-linker-VL
N403/63,VH-linker-VL
N411/51,VH-linker-VL
N414/25,VH-linker-VL
N416/57,VH-linker-VL
N422/18,VH-linker-VL
N424/45,VH-linker-VL
N428/12,VH-linker-VL
N432/21,VH-linker-VL
N432/63,VH-linker-VL
N448/88,VH-linker-VL
N449/73,VH-linker-VL
N452/30,VH-linker-VL
N452/73,VH-linker-VL
N452/81,VH-linker-VL
N471/27,VH-linker-VL
N473/36,VH-linker-VL
N479/107,VH-linker-VL
N479/12,VH-linker-VL
N483/126,VH-linker-VL
N483/26,VH-linker-VL
N483/84,VH-linker-VL
N485/22,VH-linker-VL
N486/32,VH-linker-VL
N486/76,VH-linker-VL
L6/60,VL-linker-VH
N86/8,VL-linker-VH
N95/35,VL-linker-VH
N106/36,VL-linker-VH
N112B/14,VL-linker-VH
N377/20,VL-linker-VH